,comp-1,comp-2,unique_id,Type,Location
0,-43.765438,-8.674375,1000,Residential,Ireland
1,30.274805,50.11543,1001,Residential,Ireland
2,29.295681,-42.564663,1002,Residential,Ireland
3,-25.755447,-20.185772,1003,Residential,Ireland
4,2.1108468,-45.796425,1004,Residential,Ireland
5,-21.556519,-32.510876,1005,Residential,Ireland
6,20.810574,-27.37001,1006,Residential,Ireland
7,-11.294188,-55.679096,1007,Residential,Ireland
8,-31.01153,-23.624868,1008,Residential,Ireland
9,-17.111845,-22.95575,1009,Residential,Ireland
10,-10.948309,40.317795,1010,Residential,Ireland
11,26.730743,-25.383642,1011,Residential,Ireland
12,51.98157,-29.747614,1012,Residential,Ireland
13,-43.001163,-21.943333,1013,Residential,Ireland
14,2.1992369,-23.934727,1014,Residential,Ireland
15,-18.838015,22.475035,1015,Residential,Ireland
16,39.855446,-26.235685,1016,Residential,Ireland
17,-30.498009,-37.424744,1017,Residential,Ireland
18,8.965501,-43.36525,1018,Residential,Ireland
19,-33.676723,-40.674805,1019,Residential,Ireland
20,-23.534845,-38.14586,1020,Residential,Ireland
21,39.242367,-21.394732,1021,Residential,Ireland
22,-56.73546,-1.3895432,1022,Residential,Ireland
23,55.59191,-21.962372,1023,Residential,Ireland
24,-8.812986,-27.455923,1024,Residential,Ireland
25,-64.20519,-13.0654955,1025,Residential,Ireland
26,55.37787,-20.226984,1026,Residential,Ireland
27,-29.839336,-27.623455,1027,Residential,Ireland
28,61.033073,-19.101576,1028,Residential,Ireland
29,-59.81835,17.630625,1029,Residential,Ireland
30,-16.540373,-46.061543,1030,Residential,Ireland
31,-29.015417,-38.517788,1031,Residential,Ireland
32,-54.168053,-25.982607,1032,Residential,Ireland
33,-1.7245314,-56.6105,1033,Residential,Ireland
34,26.198357,-23.177538,1034,Residential,Ireland
35,44.45229,-16.303371,1035,Residential,Ireland
36,17.380547,-16.004595,1036,Residential,Ireland
37,-47.52634,29.16872,1037,Residential,Ireland
38,53.937912,-23.570585,1038,Residential,Ireland
39,-0.4736697,-22.617308,1039,Residential,Ireland
40,-39.32654,14.498007,1041,Residential,Ireland
41,22.069153,-47.131428,1042,Residential,Ireland
42,11.912585,-21.475761,1043,Residential,Ireland
43,-1.8410205,-28.7888,1044,Residential,Ireland
44,-10.076149,-36.511013,1045,Residential,Ireland
45,-22.499222,23.843569,1046,Residential,Ireland
46,-35.25076,-28.009838,1047,Residential,Ireland
47,-33.617054,-51.17615,1048,Residential,Ireland
48,31.75048,-9.742089,1049,Residential,Ireland
49,45.342888,-15.208555,1050,Residential,Ireland
50,-5.9334936,-36.57116,1051,Residential,Ireland
51,-33.013023,-10.394459,1052,Residential,Ireland
52,26.707827,10.314013,1053,Residential,Ireland
53,-32.078667,18.596052,1054,Residential,Ireland
54,27.458277,-27.06387,1055,Residential,Ireland
55,45.28204,-15.885605,1056,Residential,Ireland
56,-15.0186,-28.974724,1057,Residential,Ireland
57,9.126878,-13.096338,1058,Residential,Ireland
58,-8.44524,-18.950274,1059,Residential,Ireland
59,7.906432,4.0031796,1060,Residential,Ireland
60,-28.62345,7.7951083,1061,Residential,Ireland
61,7.4445047,-15.068749,1062,Residential,Ireland
62,-61.784275,-10.625086,1063,Residential,Ireland
63,30.867983,-6.5561504,1064,Residential,Ireland
64,29.625042,-40.27246,1065,Residential,Ireland
65,-17.411905,-13.361534,1066,Residential,Ireland
66,-35.008186,-9.171325,1067,Residential,Ireland
67,-32.916687,-7.2267995,1068,Residential,Ireland
68,52.135395,-5.0301256,1069,Residential,Ireland
69,34.90951,-15.394211,1070,Residential,Ireland
70,-29.43235,-21.494785,1071,Residential,Ireland
