,comp-1,comp-2,unique_id,Type,Location
0,-26.230997,44.869946,1000,Residential,Ireland
1,-6.3146477,-50.10914,1001,Residential,Ireland
2,9.468962,-27.483677,1002,Residential,Ireland
3,-9.866681,2.9385536,1003,Residential,Ireland
4,36.74265,32.41459,1004,Residential,Ireland
5,-12.135407,-11.842542,1005,Residential,Ireland
6,-15.104644,56.28355,1006,Residential,Ireland
7,26.661953,41.463062,1007,Residential,Ireland
8,-22.277441,15.392905,1008,Residential,Ireland
9,-7.151872,43.418983,1009,Residential,Ireland
10,-22.03242,17.151669,1010,Residential,Ireland
11,-9.672318,13.968518,1011,Residential,Ireland
12,46.33488,12.525876,1012,Residential,Ireland
13,-28.559631,-1.440672,1013,Residential,Ireland
14,0.6837531,-0.34793156,1014,Residential,Ireland
15,-2.0667753,1.6088787,1015,Residential,Ireland
16,-36.36596,-60.67544,1016,Residential,Ireland
17,-13.612483,7.4965453,1017,Residential,Ireland
18,7.271599,1.064884,1018,Residential,Ireland
19,-1.633875,8.836917,1019,Residential,Ireland
20,-32.409676,60.72383,1020,Residential,Ireland
21,-7.0711417,-54.09927,1021,Residential,Ireland
22,-30.467474,52.003437,1022,Residential,Ireland
23,6.6417027,-50.859047,1023,Residential,Ireland
24,31.060234,35.96886,1024,Residential,Ireland
25,-50.035446,-3.2982144,1025,Residential,Ireland
26,14.774874,-51.145004,1026,Residential,Ireland
27,16.671444,38.000328,1027,Residential,Ireland
28,12.575239,-53.544613,1028,Residential,Ireland
29,-32.96341,-33.93619,1029,Residential,Ireland
30,9.253093,33.443127,1030,Residential,Ireland
31,-9.534178,20.684626,1031,Residential,Ireland
32,-33.998463,10.1267185,1032,Residential,Ireland
33,-14.091266,40.60923,1033,Residential,Ireland
34,0.1352516,-30.194574,1034,Residential,Ireland
35,10.643777,-43.012974,1035,Residential,Ireland
36,43.476887,-7.6626635,1036,Residential,Ireland
37,-33.27985,-0.6873608,1037,Residential,Ireland
38,23.720121,67.59753,1038,Residential,Ireland
39,-0.6478104,13.868375,1039,Residential,Ireland
40,-32.312057,-46.6797,1041,Residential,Ireland
41,-28.837074,56.158497,1042,Residential,Ireland
42,-10.529351,-9.184169,1043,Residential,Ireland
43,19.326857,1.9245801,1044,Residential,Ireland
44,-21.489082,-40.511547,1045,Residential,Ireland
45,-23.730486,10.917601,1046,Residential,Ireland
46,-34.757458,15.487077,1047,Residential,Ireland
47,-23.747356,55.026054,1048,Residential,Ireland
48,-43.24687,36.643486,1049,Residential,Ireland
49,16.748081,-45.1471,1050,Residential,Ireland
50,-29.174217,55.917065,1051,Residential,Ireland
51,-18.359297,-5.9862666,1052,Residential,Ireland
52,-17.343687,39.949326,1053,Residential,Ireland
53,6.6944513,63.48182,1054,Residential,Ireland
54,-34.72908,-13.994584,1055,Residential,Ireland
55,11.869337,-44.286343,1056,Residential,Ireland
56,28.186628,40.397465,1057,Residential,Ireland
57,29.288626,25.422943,1058,Residential,Ireland
58,-1.50618,-22.14013,1059,Residential,Ireland
59,-11.780455,58.049374,1060,Residential,Ireland
60,-22.705229,52.144985,1061,Residential,Ireland
61,31.69738,-13.59357,1062,Residential,Ireland
62,-26.055511,-5.583215,1063,Residential,Ireland
63,-21.509464,55.403362,1064,Residential,Ireland
64,-20.393356,52.319275,1065,Residential,Ireland
65,-14.610801,17.028511,1066,Residential,Ireland
66,-15.716291,56.05206,1067,Residential,Ireland
67,9.71993,42.53417,1068,Residential,Ireland
68,0.078903906,-57.156376,1069,Residential,Ireland
69,-1.6919904,-29.86121,1070,Residential,Ireland
70,2.2124,-5.4736733,1071,Residential,Ireland
71,-20.560501,-13.992864,1072,Residential,Ireland
72,19.959145,16.453856,1073,Residential,Ireland
73,-8.111082,-53.26517,1074,Residential,Ireland
74,-33.283817,2.9152687,1075,Residential,Ireland
75,-27.133265,53.240246,1076,Residential,Ireland
76,-16.403282,21.713171,1077,Residential,Ireland
77,-35.64048,0.13517794,1078,Residential,Ireland
78,1.8466399,4.5730195,1079,Residential,Ireland
79,-25.55445,13.810907,1080,Residential,Ireland
80,-26.983511,0.52739114,1081,Residential,Ireland
81,34.824177,36.72582,1082,Residential,Ireland
82,-22.571634,53.54377,1083,Residential,Ireland
83,11.226463,37.813473,1084,Residential,Ireland
84,-43.192444,9.890454,1085,Residential,Ireland
85,-36.01103,-64.575516,1086,Residential,Ireland
86,10.896479,42.405285,1087,Residential,Ireland
87,10.868701,38.18561,1088,Residential,Ireland
88,12.395997,57.824646,1089,Residential,Ireland
89,34.722023,7.8504353,1090,Residential,Ireland
90,-34.873066,47.932354,1091,Residential,Ireland
91,-34.787064,-63.935547,1092,Residential,Ireland
92,-46.75637,-4.0461607,1093,Residential,Ireland
93,5.428993,4.6176376,1094,Residential,Ireland
94,-14.785352,-54.586044,1095,Residential,Ireland
95,-22.199148,63.995598,1096,Residential,Ireland
96,21.634739,0.05553047,1097,Residential,Ireland
97,-53.49548,-1.1564083,1098,Residential,Ireland
98,-18.648132,3.3804755,1099,Residential,Ireland
99,34.896427,-12.20166,1100,Residential,Ireland
100,9.782387,-46.7275,1101,Residential,Ireland
101,-47.041985,12.007242,1102,Residential,Ireland
102,44.853626,5.4919696,1104,Residential,Ireland
103,-6.7294946,-17.683798,1105,Residential,Ireland
104,-14.977656,60.468437,1106,Residential,Ireland
105,-12.653402,50.588547,1107,Residential,Ireland
106,27.425163,41.378315,1108,Residential,Ireland
107,7.2330923,2.1594973,1109,Residential,Ireland
108,-26.746454,4.987837,1110,Residential,Ireland
109,-17.766691,64.3059,1111,Residential,Ireland
110,-15.565705,-64.32909,1112,Residential,Ireland
111,-46.35726,-17.67282,1113,Residential,Ireland
112,-6.1227446,-42.840096,1114,Residential,Ireland
113,-43.721954,-14.949564,1115,Residential,Ireland
114,19.693573,-31.218876,1116,Residential,Ireland
115,9.20456,41.45489,1117,Residential,Ireland
116,-32.917503,52.777798,1118,Residential,Ireland
117,17.57234,51.945854,1119,Residential,Ireland
118,-43.786163,-16.684082,1120,Residential,Ireland
119,-19.431879,-51.63811,1121,Residential,Ireland
120,-25.367195,-33.042267,1122,Residential,Ireland
121,-37.34818,33.72731,1123,Residential,Ireland
122,-30.06779,-11.985354,1124,Residential,Ireland
123,41.224236,21.61269,1125,Residential,Ireland
124,-31.44822,46.65304,1126,Residential,Ireland
125,-31.67739,-59.142982,1127,Residential,Ireland
126,-0.54028994,12.447757,1128,Residential,Ireland
127,-1.7006994,-11.2042265,1129,Residential,Ireland
128,37.10609,28.32372,1130,Residential,Ireland
129,29.252953,37.56754,1131,Residential,Ireland
130,-13.863119,55.965572,1132,Residential,Ireland
131,-39.033085,8.607019,1133,Residential,Ireland
132,15.491469,-11.769142,1134,Residential,Ireland
133,8.167957,12.176179,1135,Residential,Ireland
134,-39.23395,8.835973,1136,Residential,Ireland
135,11.001096,-43.05609,1137,Residential,Ireland
136,-30.94467,62.088665,1138,Residential,Ireland
137,-27.20677,65.80948,1139,Residential,Ireland
138,-15.097586,41.41115,1140,Residential,Ireland
139,0.21034098,14.272519,1141,Residential,Ireland
140,13.421212,-55.991604,1142,Residential,Ireland
141,30.336246,27.483809,1143,Residential,Ireland
142,-18.073303,51.602474,1144,Residential,Ireland
143,17.828728,-55.97072,1145,Residential,Ireland
144,10.728512,-45.370827,1146,Residential,Ireland
145,-2.75735,-27.066772,1147,Residential,Ireland
146,25.98192,30.442493,1148,Residential,Ireland
147,-32.39494,12.520092,1149,Residential,Ireland
148,18.03399,-6.133421,1150,Residential,Ireland
149,42.127445,21.161242,1151,Residential,Ireland
150,-28.687565,-8.015666,1152,Residential,Ireland
151,-16.306746,-19.059784,1153,Residential,Ireland
152,-15.331408,62.879154,1154,Residential,Ireland
153,19.552475,1.1138474,1155,Residential,Ireland
154,-13.344226,-2.4191952,1156,Residential,Ireland
155,2.649047,-5.3828216,1157,Residential,Ireland
156,-38.136593,56.543198,1158,Residential,Ireland
157,-14.583886,-51.10683,1159,Residential,Ireland
158,0.1784998,-49.47232,1160,Residential,Ireland
159,-42.953945,-16.992445,1161,Residential,Ireland
160,-22.337183,-4.154788,1162,Residential,Ireland
161,-12.708681,-32.383377,1163,Residential,Ireland
162,36.744907,-9.350128,1164,Residential,Ireland
163,15.980853,56.452797,1165,Residential,Ireland
164,-30.278482,58.093822,1166,Residential,Ireland
165,25.005144,32.10652,1167,Residential,Ireland
166,32.918247,27.02453,1168,Residential,Ireland
167,-4.766694,-25.172325,1169,Residential,Ireland
168,-10.637327,-16.112513,1170,Residential,Ireland
169,26.070988,-10.650286,1171,Residential,Ireland
170,2.4750025,-32.022255,1172,Residential,Ireland
171,16.279411,66.72854,1173,Residential,Ireland
172,-22.467316,52.584282,1174,Residential,Ireland
173,15.0393715,64.18458,1175,Residential,Ireland
174,19.11964,-4.267127,1176,Residential,Ireland
175,23.890308,67.274155,1177,Residential,Ireland
176,-41.120262,2.570313,1178,Residential,Ireland
177,-10.010626,57.73954,1179,Residential,Ireland
178,32.48329,29.205536,1180,Residential,Ireland
179,9.317989,-54.170395,1181,Residential,Ireland
180,26.400911,3.1406357,1182,Residential,Ireland
