,tSNE_x,tSNE_y,Location,Type,id
0,-36.512962,48.181957,Ireland,Residential,1000
1,23.635424,-53.851395,Ireland,Residential,1001
2,2.665679,-22.501194,Ireland,Residential,1002
3,-9.759431,-8.119351,Ireland,Residential,1003
4,14.172188,38.989624,Ireland,Residential,1004
5,-12.341494,-16.818817,Ireland,Residential,1005
6,-7.582362,62.238255,Ireland,Residential,1006
7,7.6458983,41.723316,Ireland,Residential,1007
8,-25.977446,-9.9795,Ireland,Residential,1008
9,-5.698092,71.70902,Ireland,Residential,1009
10,-25.610968,18.124886,Ireland,Residential,1010
11,12.790533,-20.25428,Ireland,Residential,1011
12,44.76556,20.956135,Ireland,Residential,1012
13,-41.729904,-14.28809,Ireland,Residential,1013
14,4.342335,-6.1423063,Ireland,Residential,1014
15,-14.365815,5.465074,Ireland,Residential,1015
16,-24.524954,-63.57451,Ireland,Residential,1016
17,-25.667246,-7.633771,Ireland,Residential,1017
18,8.6076145,-9.285863,Ireland,Residential,1018
19,-25.619345,-5.7136917,Ireland,Residential,1019
20,-32.70668,69.39743,Ireland,Residential,1020
21,32.369522,-48.304962,Ireland,Residential,1021
22,-39.43242,60.063446,Ireland,Residential,1022
23,41.945435,-47.46745,Ireland,Residential,1023
24,8.866891,37.348698,Ireland,Residential,1024
25,-56.91562,-14.0279255,Ireland,Residential,1025
26,49.400642,-49.945004,Ireland,Residential,1026
27,-2.0487752,39.270794,Ireland,Residential,1027
28,48.073086,-47.39849,Ireland,Residential,1028
29,-60.358036,2.7664917,Ireland,Residential,1029
30,-5.62877,36.495216,Ireland,Residential,1030
31,-10.39488,1.0908597,Ireland,Residential,1031
32,-33.88022,-8.270801,Ireland,Residential,1032
33,-14.321605,50.907505,Ireland,Residential,1033
34,11.178831,-19.375444,Ireland,Residential,1034
35,41.377354,-38.478943,Ireland,Residential,1035
36,36.38039,11.06326,Ireland,Residential,1036
37,-47.336872,-6.2001696,Ireland,Residential,1037
38,49.153587,19.70538,Ireland,Residential,1038
39,-10.0537,-13.425842,Ireland,Residential,1039
40,-35.507156,-53.965733,Ireland,Residential,1041
41,-25.400492,59.540455,Ireland,Residential,1042
42,3.517171,-27.530514,Ireland,Residential,1043
43,7.2490516,-1.1490103,Ireland,Residential,1044
44,-14.20077,-44.85783,Ireland,Residential,1045
45,-38.275715,2.0846221,Ireland,Residential,1046
46,-30.430931,-10.655403,Ireland,Residential,1047
47,-20.962662,66.65529,Ireland,Residential,1048
48,-35.27426,33.037495,Ireland,Residential,1049
49,47.778442,-39.78022,Ireland,Residential,1050
50,-25.48924,60.39086,Ireland,Residential,1051
51,-34.33312,-14.651263,Ireland,Residential,1052
52,-13.245974,47.16114,Ireland,Residential,1053
53,-35.951324,51.548153,Ireland,Residential,1054
54,5.2210526,-26.795687,Ireland,Residential,1055
55,42.13082,-38.772957,Ireland,Residential,1056
56,7.549286,38.600986,Ireland,Residential,1057
57,3.167012,29.570175,Ireland,Residential,1058
58,4.8772793,-19.693235,Ireland,Residential,1059
59,-7.7642403,61.89944,Ireland,Residential,1060
60,-34.61394,55.46297,Ireland,Residential,1061
61,15.219296,-3.9211972,Ireland,Residential,1062
62,-49.55755,-12.675852,Ireland,Residential,1063
63,-20.272951,39.313637,Ireland,Residential,1064
64,-11.49152,62.6105,Ireland,Residential,1065
65,-30.041672,4.413397,Ireland,Residential,1066
